disabled_sensor,state_id,accuracy
6.0,21.0,0.0012930875235526657
6.0,22.0,0.503815945465323
6.0,23.0,0.0006334302108949996
6.0,24.0,0.9059093942314822
6.0,25.0,0.7124309084838817
6.0,26.0,0.7357372922142831
6.0,27.0,0.24272133095662507
6.0,28.0,0.40817460905654784
7.0,0.0,0.3840170413639029
7.0,1.0,0.00849249026515854
7.0,2.0,0.9850823808816981
7.0,3.0,0.9086063587908606
7.0,4.0,0.5207258692989943
7.0,5.0,0.0035427932127540555
7.0,6.0,0.9630462014589934
7.0,7.0,0.86666913507109
7.0,8.0,0.02004297569650267
7.0,9.0,0.6509809652551971
7.0,10.0,0.8764573078204226
7.0,11.0,0.9871072910491998
7.0,12.0,0.7097195773122736
7.0,13.0,0.9723047223047223
7.0,14.0,0.9765064495743653
7.0,15.0,0.01381552214546932
7.0,16.0,0.011346836191602603
7.0,17.0,0.6330654081557407
7.0,18.0,0.08810196195005945
7.0,19.0,0.5227026825355371
7.0,20.0,0.8160152883426387
7.0,21.0,0.0036206450659474637
7.0,22.0,0.5137077652637818
7.0,23.0,0.0007079514121767642
7.0,24.0,0.8115963520427077
7.0,25.0,0.685832993285603
7.0,26.0,0.7151160638258487
7.0,27.0,0.16830065359477125
7.0,28.0,0.4630178611131698
8.0,0.0,0.06287714037600849
8.0,1.0,0.0009642128685332839
8.0,2.0,0.9608134184355054
8.0,3.0,0.8113235677811323
8.0,4.0,0.06895016142798828
8.0,5.0,0.003953011374230841
8.0,6.0,0.8933387370127478
8.0,7.0,0.7638847748815166
8.0,8.0,0.3583654416123296
8.0,9.0,0.5593876730846516
8.0,10.0,0.9094711129205374
8.0,11.0,0.9790308239478364
8.0,12.0,0.7903364325454614
8.0,13.0,0.20957083457083456
8.0,14.0,0.7777777777777778
8.0,15.0,0.0022163939270806398
8.0,16.0,0.39640005913660553
8.0,17.0,0.36778261190177713
8.0,18.0,0.10943073721759809
8.0,19.0,0.5362832518747901
8.0,20.0,0.4047663656461948
8.0,21.0,0.000332508220342114
8.0,22.0,0.4466508595139301
8.0,23.0,0.000223563603845294
8.0,24.0,0.47445688440720696
8.0,25.0,0.13606855362243572
8.0,26.0,0.7860871496797601
8.0,27.0,0.0630941770647653
8.0,28.0,0.28585192321944713
9.0,0.0,0.015876079001862973
9.0,1.0,0.0
9.0,2.0,0.9861214190292416
9.0,3.0,0.5799694360579969
9.0,4.0,0.14320703603369578
9.0,5.0,0.0004102181614767854
9.0,6.0,0.8764276766634735
9.0,7.0,0.5900844194312796
9.0,8.0,0.03656639004149378
9.0,9.0,0.3009024149647437
9.0,10.0,0.9409304563455346
9.0,11.0,0.9834395376407824
9.0,12.0,0.5737649826369441
9.0,13.0,0.9553014553014553
9.0,14.0,0.8840935281216311
9.0,15.0,0.00022163939270806397
9.0,16.0,0.00861176818450621
9.0,17.0,0.6054494506304845
9.0,18.0,0.06673602853745542
9.0,19.0,0.6317576390702533
9.0,20.0,0.7015026042642485
9.0,21.0,0.00011083607344737133
9.0,22.0,0.22050978067575577
9.0,23.0,0.0
9.0,24.0,0.6023578260547193
9.0,25.0,0.7406981489038098
9.0,26.0,0.41594165340046646
9.0,27.0,0.19147355912061795
9.0,28.0,0.21885422070703328
10.0,0.0,0.02709101839962592
10.0,1.0,0.17619135916929352
10.0,2.0,0.9903888971352234
10.0,3.0,0.3977412501397741
10.0,4.0,0.05147140683564033
10.0,5.0,0.0
10.0,6.0,0.2416549996315673
10.0,7.0,0.7551095971563981
10.0,8.0,0.17364404267931238
10.0,9.0,0.11614482481458478
10.0,10.0,0.9675413597838558
10.0,11.0,0.8048681090693539
10.0,12.0,0.11235577461633248
10.0,13.0,0.44861894861894863
10.0,14.0,0.34994981599197056
10.0,15.0,0.0
10.0,16.0,0.005359254878769959
10.0,17.0,0.3951773468033331
10.0,18.0,0.0758769322235434
10.0,19.0,0.14494646121702795
10.0,20.0,0.22531569678120433
10.0,21.0,3.6945357815790445e-05
10.0,22.0,0.22336247777119148
10.0,23.0,0.0
10.0,24.0,0.059798324312300734
10.0,25.0,0.47520124642949885
10.0,26.0,0.15619562400503498
10.0,27.0,0.14609328579916817
