disabled_sensor,state_id,TPR
12.0,2,0.9183477005207193
12.0,3,0.0
12.0,4,0.00039423540233913005
12.0,5,0.0024560326301478006
12.0,6,0.9233708062532935
12.0,7,0.03005887821506043
12.0,8,0.15466092383421967
12.0,9,4.4314455375343434e-05
12.0,10,0.04190636339499071
12.0,11,0.07811947684694238
12.0,12,0.9156472762474699
12.0,13,0.9674654539093931
12.0,14,0.04364973854471329
12.0,15,0.0
12.0,16,0.011709913506320693
12.0,17,0.9368571046889611
12.0,18,0.7963827045282851
12.0,19,0.0
12.0,20,0.10863620324629499
13.0,0,0.07462104513547424
13.0,1,0.885799052384537
13.0,2,0.9317376274449743
13.0,3,0.8400262754543464
13.0,4,0.918743703184546
13.0,5,0.859962282356037
13.0,6,0.9144563499033901
13.0,7,0.8526716543450352
13.0,8,0.10148112336834703
13.0,9,0.507356199592307
13.0,10,0.9246836003186123
13.0,11,0.9677006009190526
13.0,12,0.9533133855495908
13.0,13,0.9480934056323247
13.0,14,0.9900735619959231
13.0,15,0.4351933604096769
13.0,16,0.022399645154136172
13.0,17,0.9528432114708109
13.0,18,0.9145447273696841
13.0,19,0.9297967801530747
13.0,20,0.9057427664079041
14.0,0,0.00010173284953711554
14.0,1,0.7329849887083204
14.0,2,0.9275368660569728
14.0,3,0.14017954893803372
14.0,4,0.8978492268605721
14.0,5,0.12012631024955046
14.0,6,0.9072984366766204
14.0,7,0.27083978927796715
14.0,8,0.012701621764162967
14.0,9,0.037578658158291235
14.0,10,0.8132578104257014
14.0,11,0.9696005655708732
14.0,12,0.9267358972102437
14.0,13,0.9680776631100227
14.0,14,0.9914029956571834
14.0,15,0.02657601977750309
14.0,16,0.010556664448880019
14.0,17,0.952086209199804
14.0,18,0.831400257743412
14.0,19,0.2534529779185361
14.0,20,0.7710832745236414
15.0,0,0.11553460612431754
15.0,1,0.9092680334765089
15.0,2,0.930599921235724
15.0,3,0.799474490913072
15.0,4,0.931709667528144
15.0,5,0.9110126748826806
15.0,6,0.9200772878974178
15.0,7,0.9046881225375183
15.0,8,0.9434360304135718
15.0,9,0.8830098378090934
15.0,10,0.9749977874148155
15.0,11,0.9709261223047013
15.0,12,0.941388717768195
15.0,13,0.9146405457407731
15.0,14,0.9893202162545423
15.0,15,0.5454264524103832
15.0,16,0.9373697050343757
15.0,17,0.9548470410117113
15.0,18,0.9402301915300182
15.0,19,0.9552652414885194
15.0,20,0.9331774876499647
16.0,0,0.0
16.0,1,0.5555949165301333
16.0,2,0.9284120246794731
16.0,3,0.1313334793080797
16.0,4,0.8992509527355557
16.0,5,0.13315205473444147
16.0,6,0.9092745476901458
16.0,7,0.7187569170835363
16.0,8,0.02562299476992045
16.0,9,0.07006115394841797
16.0,10,0.6746614744667669
16.0,11,0.9841375044185224
16.0,12,0.9493091613130336
16.0,13,0.9365488892775932
16.0,14,0.9902065053620491
16.0,15,0.13460180116546
16.0,16,0.0010201818585052118
16.0,17,0.9521752682905108
16.0,18,0.7782073501310937
16.0,19,0.7097299199436967
16.0,20,0.9138143966125617
17.0,0,0.0
17.0,1,0.8950980826285259
17.0,2,0.9219796088040958
17.0,3,0.0013575651412305672
17.0,4,0.2756581541022384
17.0,5,0.2488487347046182
17.0,6,0.9022483751976111
17.0,7,0.575147195537651
17.0,8,0.4652573287039072
17.0,9,0.013515908889479749
17.0,10,0.023674661474466768
17.0,11,0.9298338635560268
17.0,12,0.9619378685206371
17.0,13,0.9762987580899073
17.0,14,0.9535141363112647
17.0,15,0.0013685325799046443
17.0,16,0.29509869150587714
17.0,17,0.9449169523979161
17.0,18,0.9026796427143048
17.0,19,0.11115509809096508
17.0,20,0.8299223712067749
18.0,0,0.043389060327579776
18.0,1,0.9076739140061107
18.0,2,0.925348969500722
18.0,3,0.37403109262097656
18.0,4,0.9250952735555653
18.0,5,0.9070216218586904
18.0,6,0.9178376954154225
18.0,7,0.9025189251405551
18.0,8,0.9283171449918692
18.0,9,0.7689444296729593
18.0,10,0.5830604478272413
18.0,11,0.9640332272887946
18.0,12,0.9534893954061427
18.0,13,0.9348434493615533
18.0,14,0.9885668705131614
18.0,15,0.2597121666960975
18.0,16,0.9119982257706809
18.0,17,0.9526650932893975
18.0,18,0.9355641470026219
18.0,19,0.9500747778657518
18.0,20,0.9294283697953423
19.0,0,0.0
19.0,1,0.8602931408581677
19.0,2,0.9232923467378462
19.0,3,0.0
19.0,4,0.8736694555171054
19.0,5,0.8515854567782115
19.0,6,0.8919286843492008
19.0,7,0.5581477710390013
19.0,8,0.8070584098800159
19.0,9,0.9720375786581583
19.0,10,0.4031772723249845
19.0,11,0.9567868504772005
19.0,12,0.9651940508668485
19.0,13,0.930951548014693
19.0,14,0.9908712221926792
